brand,model,year,variant,price_usd,battery_capacity_kwh,range_miles,charging_speed_kw,acceleration_0_60_mph,top_speed_mph,horsepower,torque_nm,drive_type,seating_capacity,body_type,cargo_volume_cubic_ft,weight_kg,safety_rating,autopilot_level,country_of_origin,market_segment,annual_sales_units,customer_rating,warranty_years
Volkswagen,ID. Buzz,2023,Performance,104880.8,118.7,400,234.5,3.04,195,1000,895,AWD,7,Truck,54.2,2015,4,2,Germany,Luxury,202182,4,4
GM/Chevrolet,Bolt EV,2024,Premium,49651.12,58.2,225,104.9,6.84,148,588,516,AWD,5,Van,77,1533,4,1,US,Mid-range,16590,3.7,3
Kia,Sportage EV,2024,Long Range,38131.56,102.5,349,66.5,4.66,176,310,327,AWD,7,SUV,65.8,1935,4,2,South Korea,Mid-range,127201,3.81,3
Tesla,Model 3,2022,Long Range,144079.87,93.9,314,298.5,5.64,165,1000,883,RWD,5,SUV,38.3,2229,4,2,US,Luxury,196401,3.83,4
Tesla,Model Y,2023,Performance,119590.27,78.3,251,334.6,2.84,200,947,858,AWD,5,Hatchback,35.5,1751,5,3,US,Luxury,411764,3.67,5
Tesla,Model 3,2024,Premium,128427.66,68.6,222,201.9,6.68,149,992,899,RWD,5,Coupe,39.3,1500,5,2,US,Luxury,213937,3.54,6
Mercedes,EQS,2025,Performance,131074.23,82.7,292,202.5,2.99,200,764,737,RWD,7,SUV,61.2,2219,4,2,Germany,Luxury,48277,4.11,8
Kia,Niro EV,2021,Premium,80530.57,54.6,184,67.5,7.57,137,976,864,AWD,7,Hatchback,36.7,1511,3,1,South Korea,Premium,90830,3.11,4
GM/Chevrolet,Blazer EV,2025,Base,56944.53,69.9,251,117.1,6.68,149,703,604,FWD,7,Van,67.6,1520,5,2,US,Mid-range,8761,3.46,5
Tesla,Model S,2026,Long Range,134165.81,103.2,347,324.4,4.56,187,993,949,AWD,5,Sedan,26.7,1720,4,2,US,Luxury,211478,3.78,4
Fisker,Ronin,2025,Standard,88914.19,66.7,232,129.5,5.1,173,727,689,AWD,7,Truck,64.7,2536,3,2,US,Premium,2408,3.67,5
Mercedes,EQG,2025,Performance,210811.92,93.2,320,166.5,2.84,200,1000,919,RWD,7,Hatchback,17.6,1562,5,2,Germany,Luxury,56039,3.59,7
Tesla,Model 3,2024,Premium,95912.83,49.8,167,241.7,7.45,138,716,627,FWD,7,Sedan,15.7,1556,4,3,US,Premium,124780,3.56,5
Tesla,Model S,2024,Premium,134964.13,67.4,250,343.3,7.46,135,992,875,RWD,5,Van,76,1500,5,2,US,Luxury,235048,3.81,5
BYD,Atto 3,2024,Standard,64427.02,70.5,265,51,6.91,138,711,662,RWD,7,Truck,72.2,2756,5,1,China,Mid-range,204232,3.52,4
Hyundai,Kona Electric,2024,Premium,63139.95,81,275,96.7,7.45,141,743,649,RWD,5,Coupe,21.9,1750,4,1,South Korea,Mid-range,132242,3.43,5
BYD,Atto 3,2024,Premium,72336.67,77.9,295,60.5,5.5,178,800,732,AWD,5,Van,60.6,1500,3,1,China,Premium,168778,3.53,3
Kia,Picanto EV,2025,Premium,106848.2,54.1,193,132.7,7.95,135,1000,855,AWD,5,Coupe,26.9,1500,4,1,South Korea,Luxury,85618,3.33,5
Tesla,Cybertruck,2023,Base,70531.96,70.5,256,281.7,5.5,165,507,445,AWD,7,Truck,72,2290,5,2,US,Premium,209622,3.6,4
Ford,Mustang Mach-E,2025,Performance,96527.54,75.2,286,178,3.87,188,1000,924,FWD,7,Coupe,38.9,1500,3,1,US,Premium,67670,3.6,4
Tesla,Model X,2023,Standard,67772.81,53.3,175,320.5,7.79,128,501,445,FWD,5,Sedan,28.7,1539,5,2,US,Premium,207968,3.36,6
Kia,EV9,2024,Standard,66876.75,66.7,236,96.7,6.02,164,754,647,RWD,5,SUV,66.8,1980,4,2,South Korea,Premium,117514,3.53,3
Tesla,Model Y,2025,Performance,135780.6,105.2,383,344.9,4.02,196,997,903,AWD,5,Truck,69,2015,5,2,US,Luxury,411097,4.12,5
Kia,Niro EV,2024,Performance,105946.66,79.3,245,222,3.24,200,1000,919,RWD,7,Coupe,15.9,1701,4,1,South Korea,Luxury,147459,3.43,3
Tesla,Model X,2025,Base,110771.86,52.9,177,216.7,6.55,151,826,728,AWD,5,SUV,35.7,1959,4,2,US,Luxury,179640,3.42,5
Tesla,Cybertruck,2024,Performance,42827.24,89.9,311,240.1,2.94,200,263,241,AWD,5,Truck,55.5,2122,4,3,US,Mid-range,133489,3.82,5
